mid,title,rating,ranking,type,genre,rdate,language,cover,description,trailer,released,year
7221388,Cobra Kai,8.6,160,tv series,"[""Action"", ""Comedy"", ""Drama"", ""Sport""]",2018-,"[""English""]",https://m.media-amazon.com/images/M/MV5BOTE1M2Q3YjQtZGMzYy00MDcwLWIzNzctYzI3MDBhMjBmYTQwXkEyXkFqcGdeQXVyMTEyMjM2NDc2.jpg,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",Null,TRUE,2018
0417349,North & South,8.6,161,tv series,"[""Drama"", ""Romance""]",2004-2004,"[""English""]",https://m.media-amazon.com/images/M/MV5BYjU4NGI4MjQtOTJlZC00Y2UxLWFiMDAtODJhZDFmYmVjMTY3XkEyXkFqcGdeQXVyNTE1NjY5Mg@@.jpg,"North and South is a four part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle class southerner who is forced to move to the northern town of Milton.",https://en.wikipedia.org/wiki/North,TRUE,2004
2244495,The Eric Andre Show,8.6,162,tv series,"[""Comedy""]",2012-,"[""English""]",https://m.media-amazon.com/images/M/MV5BZWI4YTVhYmMtZmZjNS00MmFjLTkyMDItNzcxYjVjZjZmODliXkEyXkFqcGdeQXVyMzM4NjcxOTc@.jpg,"Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim.",Null,TRUE,2012
0187664,Spaced,8.5,163,tv series,"[""Action"", ""Comedy""]",1999-2001,"[""English""]",https://m.media-amazon.com/images/M/MV5BMmNjODUxNzctOWU2Zi00ZGU3LWI2MDEtMjZjNjE2MmJiMDZiXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg,"Friends Tim and Daisy, 20-something North Londoners with uncertain futures, must pretend to be a couple to live in the only apartment they can afford.",Null,TRUE,1999
0096657,Mr. Bean,8.5,164,tv series,"[""Comedy"", ""Family""]",1990-1995,"[""English""]",https://m.media-amazon.com/images/M/MV5BOGNjZTRlNDctNGI0Yi00YmFkLTljMmQtMjQ1ZjdiNmU5YTc0XkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg,"Bumbling, childlike Mr. Bean has trouble completing the simplest of tasks in day-to-day life, but his perseverance and resourcefulness frequently allow him to find ingenious ways around problems.",Null,TRUE,1990
0275137,Justice League,8.5,165,tv series,"[""Animation"", ""Action"", ""Adventure"", ""Drama"", ""Family"", ""Fantasy"", ""Mystery""]",2001-2004,"[""English""]",https://m.media-amazon.com/images/M/MV5BMDE2ODk0ZTctMGI4Ni00ODgwLTk4OTAtOGNiNjZkMzI3NTY0XkEyXkFqcGdeQXVyOTgwMzk1MTA@.jpg,Seven of the most formidable heroes form arguably the most powerful team ever.,https://www.youtube.com/watch?v=3cxixDgHUYw,TRUE,2001
0988824,Naruto: Shippûden,8.6,166,tv series,"[""Animation"", ""Action"", ""Adventure"", ""Comedy"", ""Drama"", ""Fantasy""]",2007-2017,"[""English"", ""Japanese""]",https://m.media-amazon.com/images/M/MV5BMTE5NzIwMGUtYTE1MS00MDUxLTgyZjctOWVkZDAxM2M4ZWQ4XkEyXkFqcGdeQXVyNjc2NjA5MTU@.jpg,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.",Null,TRUE,2007
7908628,What We Do in the Shadows,8.6,167,tv series,"[""Comedy"", ""Fantasy"", ""Horror""]",2016-,"[""English""]",https://m.media-amazon.com/images/M/MV5BYzZhZWVkNzYtZjZmOS00MTE1LWFkZTQtYzViYWU0MDU3MDIxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg,"A look into the daily (or rather, nightly) lives of three vampires, who've lived together for over 100 years, on Staten Island.",https://www.youtube.com/watch?v=IAZEWtyhpes,TRUE,2016
0112159,Neon Genesis Evangelion,8.5,168,tv series,"[""Animation"", ""Action"", ""Drama"", ""Fantasy"", ""Sci-Fi"", ""Thriller""]",1995-1996,"[""Japanese""]",https://m.media-amazon.com/images/M/MV5BYjY1Y2ZmNDctZWQ3Yy00MTE3LTk2M2QtMjQ0MDA5ODVjMDEyXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,https://www.youtube.com/watch?v=Q3_PS6xa9Uw,TRUE,1995
0403778,Long Way Round,8.6,169,tv series,"[""Documentary"", ""Adventure""]",2004-,"[""English""]",https://m.media-amazon.com/images/M/MV5BYTAxNWFmMTktMDVjNC00YWFkLTg2NDQtNjQwODZlYmQ2YTA2XkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg,"This documentary series follows actors Ewan McGregor and Charley Boorman on a motorcycle trip around the world. The two friends will travel through such places as Siberia, Kazakhstan, Mongolia, and Alaska, before finally ending the journey in New York. The filming will be done by on board cameras and one ride along cameraman.::solojones",Null,TRUE,2004
0120570,From the Earth to the Moon,8.6,170,tv series,"[""Action"", ""Drama"", ""History"", ""Thriller""]",1998-1998,"[""English""]",https://m.media-amazon.com/images/M/MV5BMTg1NTM4ODctMWUxYi00NDZhLWJhNGEtNzA3MGE4MWY4N2E2XkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg,Dramatized portrayal of the Apollo manned space program.,Null,TRUE,1998
0423731,Samurai Champloo,8.5,171,tv series,"[""Animation"", ""Action"", ""Adventure"", ""Comedy"", ""Drama"", ""Thriller""]",2004-2005,"[""Japanese""]",https://m.media-amazon.com/images/M/MV5BOWNhMDMyMDYtNzJlOS00YzhhLWFiMjktYWY1MzMzZGZhOGRjXkEyXkFqcGdeQXVyNDYzNTI2ODc@.jpg,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""",Null,TRUE,2004
0979432,Boardwalk Empire,8.5,172,tv series,"[""Crime"", ""Drama"", ""History""]",2010-2014,"[""English""]",https://m.media-amazon.com/images/M/MV5BYTYxNzc5ZmYtODcyNi00ZWUwLWExNWUtY2Y0YTlhZDBlMGU1XkEyXkFqcGdeQXVyNzQ1ODk3MTQ@.jpg,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,Null,TRUE,2010
