mid,title,rating,ranking,type,genre,rdate,language,cover,description,trailer,released,year
3170832,Room,8.1,199,movie,"[""Drama"", ""Thriller""]",29 Jan 2016 (India),"[""English""]",https://m.media-amazon.com/images/M/MV5BMjE4NzgzNzEwMl5BMl5BanBnXkFtZTgwMTMzMDE0NjE@.jpg,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",https://www.youtube.com/watch?v=E_Ci-pAL4eE,TRUE,2016
72684,Barry Lyndon,8.1,200,movie,"[""Adventure"", ""Drama"", ""History"", ""War""]",18 Dec 1975 (Australia),"[""English"", ""German"", ""French""]",https://m.media-amazon.com/images/M/MV5BNmY0MWY2NDctZDdmMi00MjA1LTk0ZTQtZDMyZTQ1NTNlYzVjXkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,https://www.youtube.com/watch?v=9lzSoKOs1fc,TRUE,1975
2267998,Gone Girl,8.1,201,movie,"[""Drama"", ""Mystery"", ""Thriller""]",31 Oct 2014 (India),"[""English""]",https://m.media-amazon.com/images/M/MV5BMTk0MDQ3MzAzOV5BMl5BanBnXkFtZTgwNzU1NzE3MjE@.jpg,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",https://www.youtube.com/watch?v=2-_-1nJf8Vg,TRUE,2014
2119532,Hacksaw Ridge,8.1,202,movie,"[""Biography"", ""Drama"", ""History"", ""War""]",16 Dec 2016 (India),"[""English"", ""Japanese""]",https://m.media-amazon.com/images/M/MV5BMjQ1NjM3MTUxNV5BMl5BanBnXkFtZTgwMDc5MTY5OTE@.jpg,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",https://www.youtube.com/watch?v=s2-1hz1juBI,TRUE,2016
19254,The Passion of Joan of Arc,8.1,203,movie,"[""Biography"", ""Drama"", ""History""]",1928 (Germany),"[""None"", ""French""]",https://m.media-amazon.com/images/M/MV5BNjBjNDJiYTUtOWY0OS00OGVmLTg2YzctMTE0NzVhODM1ZWJmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",Null,TRUE,1928
8108198,Andhadhun,8.2,204,movie,"[""Crime"", ""Drama"", ""Music"", ""Mystery"", ""Thriller""]",05 Oct 2018 (India),"[""Hindi"", ""English""]",https://m.media-amazon.com/images/M/MV5BZWZhMjhhZmYtOTIzOC00MGYzLWI1OGYtM2ZkN2IxNTI4ZWI3XkEyXkFqcGdeQXVyNDAzNDk0MTQ@.jpg,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",https://www.youtube.com/watch?v=2iVYI99VGaw,TRUE,2018
1950186,Ford v Ferrari,8.1,205,movie,"[""Action"", ""Biography"", ""Drama"", ""Sport""]",15 Nov 2019 (India),"[""English"", ""Italian"", ""French"", ""Japanese""]",https://m.media-amazon.com/images/M/MV5BM2UwMDVmMDItM2I2Yi00NGZmLTk4ZTUtY2JjNTQ3OGQ5ZjM2XkEyXkFqcGdeQXVyMTA1OTYzOTUx.jpg,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,https://www.youtube.com/watch?v=I3h9Z89U9ZA,TRUE,2019
2024544,12 Years a Slave,8.1,206,movie,"[""Biography"", ""Drama"", ""History""]",31 Jan 2014 (India),"[""English""]",https://m.media-amazon.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@.jpg,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",https://www.youtube.com/watch?v=z02Ie8wKKRg,TRUE,2014
35446,To Be or Not to Be,8.2,207,movie,"[""Comedy"", ""Romance"", ""War""]",06 Mar 1942 (USA),"[""English"", ""German""]",https://m.media-amazon.com/images/M/MV5BYTIwNDcyMjktMTczMy00NDM5LTlhNDEtMmE3NGVjOTM2YjQ3XkEyXkFqcGdeQXVyNjc0MzMzNjA@.jpg,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",Null,TRUE,1942
118715,The Big Lebowski,8.1,208,movie,"[""Comedy"", ""Crime"", ""Sport""]",21 Dec 2019 (India),"[""English"", ""German"", ""Hebrew"", ""Spanish""]",https://m.media-amazon.com/images/M/MV5BMTQ0NjUzMDMyOF5BMl5BanBnXkFtZTgwODA1OTU0MDE@.jpg,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife.",Null,TRUE,2019
77711,Autumn Sonata,8.2,209,movie,"[""Drama"", ""Music""]",08 Oct 1978 (Sweden),"[""Swedish"", ""English""]",https://m.media-amazon.com/images/M/MV5BNGIyMWRlYTctMWNlMi00ZGIzLThjOTgtZjQzZjRjNmRhMDdlXkEyXkFqcGdeQXVyMTAwMzUyOTc@.jpg,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young.",Null,TRUE,1978
892769,How to Train Your Dragon,8.1,210,movie,"[""Animation"", ""Action"", ""Adventure"", ""Comedy"", ""Family"", ""Fantasy""]",16 Apr 2010 (India),"[""English""]",https://m.media-amazon.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@.jpg,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",https://www.youtube.com/watch?v=oKiYuIsPxYk,TRUE,2010
97165,Dead Poets Society,8.1,211,movie,"[""Comedy"", ""Drama""]",15 Feb 2021 (India),"[""English"", ""Latin""]",https://m.media-amazon.com/images/M/MV5BOGYwYWNjMzgtNGU4ZC00NWQ2LWEwZjUtMzE1Zjc3NjY3YTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,Null,TRUE,2021
