mid,title,rating,rank,type,genre,rdate,language,cover,description,trailer,released,year
82,Mobile Suit Gundam 0080: War in the Pocket,PG-13 - Teens 13 or older,647,anime,"[""Drama"", ""Sci-Fi""]",,"[""Japanese""]",https://cdn.myanimelist.net/images/anime/1/82.jpg,"Alfred Izuruha is a 10-year-old who lives in the neutral colony cluster of Side 6 and, like most boys his age, is obsessed with the war between the Earth Federation and the Principality of Zeon. Unbeknownst to him, Al's next-door neighbor, Christina, is the test pilot of a prototype Gundam being developed in secret by the Earth Federation in the colony. A Zeon Special Forces team is assembled and tasked with infiltrating the colony in order to either steal or destroy it.  When a skirmish breaks out between the Federation and infiltrating Zeon forces, the fascinated Alfred stumbles upon a Zaku mobile suit that has been shot down, piloted by Zeon rookie Bernard ""Bernie"" Wiseman. After this encounter, the two start a mutual friendship, so Alfred can learn more about the war that interests him so much, and Bernie can acquire inside information about the colony to aid his team's mission.  [Written by MAL Rewrite]",Null,TRUE,"Mar 25, 1989 to Aug 25, 1989"
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,PG-13 - Teens 13 or older,4690,anime,"[""Drama"", ""Romance"", ""Sci-Fi""]",,"[""Japanese""]",https://cdn.myanimelist.net/images/anime/1132/100198.jpg,"Shortly after being rescued off the Himalayas, Federation Ensign Shiro Amada is accused of espionage due to his encounter with Zeon's top-secret mobile armor. Intelligence officer Alice Miller is assigned to investigate on Shiro's whereabouts during his disappearance. Her documented findings will determine whether or not Shiro is a traitor, and what his fate will be as commander of the 08th MS Team.  (Source: ANN)",Null,TRUE,"Aug 1, 1998"
84,Mobile Suit Gundam 0083: Stardust Memory,PG-13 - Teens 13 or older,2567,anime,"[""Adventure"", ""Drama"", ""Romance"", ""Sci-Fi""]",,"[""Japanese""]",https://cdn.myanimelist.net/images/anime/13/26654.jpg,"It is the year 0083 of the Universal Century. The rebellious Principality of Zeon has been defeated in the One Year War by the Earth Federation. However, a faction of Zeon remnants led by Aguille Delaz fled from the final battle, hiding themselves away. After three long years, they attempt to rise up once more, sending Delaz's ace pilot, Anavel Gato, to infiltrate a Federation research base to steal one of two secretly developed prototype Gundams along with its deadly nuclear warhead.  Threatened by the rogue Gundam suit and seeking to retain peace, the Earth Federation mobilizes the newly developed Albion carrier to recover the stolen unit. Manned by the remaining test pilots, with rookie pilot Kou Uraki piloting the remaining prototype Gundam, the Albion and her crew are determined to stop Gato, retake the stolen Gundam, and prevent the Zeon remnants from starting another war.  [Written by MAL Rewrite]",Null,TRUE,"May 23, 1991 to Sep 24, 1992"
85,Mobile Suit Zeta Gundam,PG-13 - Teens 13 or older,711,anime,"[""Drama"", ""Romance"", ""Sci-Fi""]",Spring 1985,"[""Japanese""]",https://cdn.myanimelist.net/images/anime/6/11153.jpg,"It is Universal Century 0087, and the One Year War between the Earth Federation and Principality of Zeon is over. The Earth Federation has created an elite task force, known as the Titans, who are responsible for hunting the remaining Zeon forces. However, the power-hungry Titans have shown themselves to be no better than Zeon, spurring the creation of a rebellious faction called the Anti-Earth Union Group (AEUG).  17-year-old Kamille Bidan lives in the colony Green Noa, home to a Titan base. Kamille gets in trouble after assaulting a Titan officer, an event that coincides with an attack led by former Zeon ace Char Aznable, now known as AEUG pilot Quattro Bajeena. When Kamille steals a Titan's prototype Gundam, he soon finds himself in the middle of the dangerous conflict.  [Written by MAL Rewrite]",Null,TRUE,"Mar 2, 1985 to Feb 22, 1986"
86,Mobile Suit Gundam ZZ,PG-13 - Teens 13 or older,5360,anime,"[""Comedy"", ""Drama"", ""Sci-Fi""]",Spring 1986,"[""Japanese""]",https://cdn.myanimelist.net/images/anime/1848/91078.jpg,"In Universal Century 0088, the Anti-Earth Union Group (AEUG) has emerged victorious in its war with the Earth Federation's Titans at the cost of devastating losses. Neo-Zeon, the third faction in the war formerly known as Axis Zeon, remains as powerful as ever. Led by Newtype Haman Karn, Neo-Zeon has been implementing plans to take over both Earth and the space colonies.  The AEUG flagship Argama heads to the Side 1 colony Shangri-La for repairs. Living in the colony is Judau Ashta, a 14-year-old junk dealer who is struggling to make enough money to put his younger sister through school. Upon the discovery of an escape pod containing a former Titans pilot, Judau and his friends are quickly led to the Argama in hopes of stealing a mobile suit which they can sell for a fortune. However, with the arrival of a Neo-Zeon ship seeking to defeat the Argama, Judau and his friends are dragged into to a conflict that will bring them across space and Earth.  [Written by MAL Rewrite]",Null,TRUE,"Mar 1, 1986 to Jan 31, 1987"
88,Mobile Suit Gundam F91,PG-13 - Teens 13 or older,5274,anime,"[""Drama"", ""Sci-Fi""]",,"[""Japanese""]",https://cdn.myanimelist.net/images/anime/1637/95288.jpg,"In the year 123 of the Universal Century, skirmishes between the Federation government and the rebel group Crossbones Vanguard echo across Earth's space colonies. One of these small battles breaks in the hometown of young Seabook Arno, forcing him and his friends to flee and ensnaring them in the political turmoil that is quickly evolving into an all-out war.  Seabook meets Cecily Fairchild, granddaughter of the aristocrat Meitzer Ronah, who seeks to create a new political power called ""Cosmo Babylonia."" Using the Crossbone Vanguard as its muscle, the Ronah family schemes to restore aristocratic rule and establish an economic system that will benefit the nobility, thus devastating the quality of life for the common people of the Earth Sphere.  Seabook is tasked with piloting the Gundam F91, a mobile suit created by his mother, and must choose between protecting the status Federation's status quo or cooperating with Cecily to find a better way of life for all.  [Written by MAL Rewrite]",Null,TRUE,"Mar 16, 1991"
89,Mobile Suit Victory Gundam,PG-13 - Teens 13 or older,4875,anime,"[""Drama"", ""Sci-Fi""]",Spring 1993,"[""Japanese""]",https://cdn.myanimelist.net/images/anime/1913/102693.jpg,"In the year 153 of the Universal Century, the tyrannical Zanscare Empire has taken hostile control over Side 2, a space colony outside of Earth's orbit. Following in the footsteps of the long expired Principality of Zeon and the more recent Crossbone Vanguard, Zanscare rules over its subjects with cruelty, routinely using a large guillotine for public executions.  Living in Central Europe, space immigrant Üso Ewin joins the League Militaire, a militia made up of civilians frustrated with the Earth Federation's inability to combat the Zanscare Empire. Üso's latent abilities as a psychic Newtype awaken and allow him to pilot the Victory Gundam, the only mobile suit capable of holding off the elite BESPA forces of the Zanscare Empire.  Hoping to protect his best friend Shakti Kareen and locate his parents within the ranks of the Federation, Üso fights on with the Victory, striving to bring an end to the empire's reign.  [Written by MAL Rewrite]",Null,TRUE,"Apr 2, 1993 to Mar 25, 1994"
91,Mobile Suit Gundam Wing: Endless Waltz,PG-13 - Teens 13 or older,952,anime,"[""Action"", ""Drama"", ""Sci-Fi""]",,"[""Japanese""]",https://cdn.myanimelist.net/images/anime/1061/97444.jpg,"In the year After Colony 196, one year after the conclusion of the intergalactic civil war, a state of stasis prevails over the Earth and its colonies. Seeing no further use for their Gundam mobile suits, war heroes Duo Maxwell, Heero Yuy, Trowa Barton, and Quatre Raberba Winner decide to destroy these weapons by launching them into the sun's surface.   Before the Gundam reach their destination, the universal peace is shattered by the emergence of Mariemaia Khushrenada—the only child of the former tyrannical aristocrat Treize. Mariemaia abducts diplomat Relena Peacecraft and announces plans to launch ""Operation Meteor,"" with the intention of posthumously fulfilling Treize's world domination plot.  With the help of former enemy Zechs Marquise and his mobile suit Tallgeese, the heroic pilots must reacquire their mobile suits to wage one final battle against the Khushrenada dynasty, including fighting against their former ally Wufei Chang, now aligning himself with Mariemaia's ambitions.  [Written by MAL Rewrite]",Null,TRUE,"Jan 25, 1997 to Jul 25, 1997"
92,After War Gundam X,PG-13 - Teens 13 or older,2241,anime,"[""Adventure"", ""Drama"", ""Sci-Fi""]",Spring 1996,"[""Japanese""]",https://cdn.myanimelist.net/images/anime/10/16054.jpg,"When one space colony declared its independence from the Earth Federation, the devastating 7th Space War, an all-out war between Earth and space, resulted. The Federation responded to the Space Revolutionary Army with mobile suits, called Gundams. However, the Space Revolutionary forces played their trump card and dropped hundreds of space colonies onto the Earth, plunging the planet into a seven-year-long nuclear winter. The Federation collapsed, but the Space Revolutionary Army was unable to invade the Earth in the aftermath of the colony drop.  Fifteen years have passed. The year is now After War 0015, and a New Federation has sprung up on Earth to restore order. In space, the colonial leaders have been rebuilding their own forces as well. By chance, fifteen-year-old Garrod Ran has discovered an old Federation mobile suit, the Gundam X, and now he uses it to help out the Vulture ship Freeden in its struggle to keep the powers that be from repeating the mistakes of the past.",Null,TRUE,"Apr 5, 1996 to Dec 28, 1996"
94,Mobile Suit Gundam SEED Destiny,R - 17+ (violence & profanity),2864,anime,"[""Action"", ""Drama"", ""Romance"", ""Sci-Fi""]",Fall 2004,"[""Japanese""]",https://cdn.myanimelist.net/images/anime/1700/91080.jpg,"In the year Cosmic Era 0071, a wartime brawl between two mobile suits results in the destruction of a neutral country. Shinn Asuka finds his entire family killed as casualties of the violence, and swears his life toward a vengeful pursuit of the Earth's Natural forces, under the impression they were the ones responsible for his family's death. Shinn works his way up through the ZAFT military forces, eventually gaining access to the cockpit of the prototype Impulse mobile suit.  Athrun Zala, a veteran of the recent war employed in the service of diplomat Cagalli Yula Athha, finds himself drawn into a new conflict between the Naturals and the Coordinators: human beings artificially enhanced before birth and hated by the Naturals for their biological advantages.  As the new war rears its head and violence becomes inevitable, Athrun finds himself as a mentor to the bitter Shinn. Athrun must steer the young pilot towards a mindset of mercy before his rage and desire for vengeance consumes him.  [Written by MAL Rewrite]",Null,TRUE,"Oct 9, 2004 to Oct 1, 2005"
95,Turn A Gundam,PG-13 - Teens 13 or older,1051,anime,"[""Action"", ""Adventure"", ""Drama"", ""Romance"", ""Sci-Fi""]",Spring 1999,"[""Japanese""]",https://cdn.myanimelist.net/images/anime/4/78330.jpg,"It is the Correct Century, two millennia after a devastating conflict which left the world broken. Earth is now mostly uninhabitable, and thus a remnant of humanity has resided on the Moon while the Earth and its few survivors recover. For years, the ""Moonrace,"" the people of the Moon, have continued to check if Earth is fit for resettlement.  A boy named Rolan Cehack and two others are sent down to Earth for a reconnaissance mission. Rolan ends up spending a year on the planet working for the Heim Family, aristocrats living in a Victorian-like society. This family, like others of similar wealthy status, celebrates one's coming of age with a ceremony involving a giant stone statue known as the ""White Doll.""  To Rolan's surprise, the Moonrace suddenly touches down on Earth with the intent of taking it by force. During the attack, the White Doll is broken apart, revealing a mobile suit called the ""Turn A Gundam"" inside. With Rolan in its cockpit, the Turn A causes a standoff between the forces of Earth and Moon. The young pilot, along with the people of both sides, must keep the peace and avoid another all-out, catastrophic war.  [Written by MAL Rewrite]",Null,TRUE,"Apr 9, 1999 to Apr 14, 2000"
